Type,Artifact,First Seen,Last Seen,Source
hash_sha256,011CB37733CDF01C689D12FEDC4A3EDA8B0F6C4DCDEEF1719004C32EE331198E,10/25/2022 15:42,3/28/2023 14:16,Defender TI
hash_sha256,01DFA94E11B60F92449445A9660843F7BEA0D6AAD62F1C339E88252008E3B494,11/8/2022 17:31,3/28/2023 14:17,Defender TI
hash_sha256,05F0EAB1150F744E47124971EFEF54B5DCBF99116B393E5A9B46D7B4BBCC1CA8,9/25/2020 7:54,3/28/2023 14:16,Defender TI
hash_sha256,06004CD9B9E2A9A5091B9EC523B0B1C6F7EDDC134BEE243F44A4731BF9D6AC9F,4/16/2020 14:17,4/13/2022 7:14,Defender TI
hash_sha256,0B9FFECC0CA286B7F969B9972ABB338FBDEE8B3E965758C359CEB88BE32AE813,1/23/2023 17:03,3/28/2023 14:17,Defender TI
ip,141.95.22.153,2/8/2023 13:28,5/2/2023 8:51,Defender TI
hash_sha256,1670A59F573037142F417FB8C448A9022C8D31A6B2BF93AD77A9DB2924B502AF,11/18/2022 16:13,3/28/2023 14:19,Defender TI
ip,194.61.121.86,2/9/2023 11:33,5/2/2023 8:51,Defender TI
hash_sha1,196B1E7C0918EB262D2A55EC23D86CE1776B8C61,10/30/2019 20:33,3/28/2023 14:17,Defender TI
hash_sha256,1B60B7F9B0FAF25288F1057B154413921A6CB373DCEE43E831B9263C5B3077CE,10/6/2017 7:12,3/28/2023 14:15,Defender TI
hash_sha256,2471A039CB1DDEB826F3A11F89B193624D89052AFCBEE01205DC92610723EB82,1/18/2022 18:22,3/28/2023 14:15,Defender TI
hash_sha1,24DD2472B98AF30DAA1DF4A6E22F4F80C06B6669,10/30/2019 20:16,3/28/2023 14:15,Defender TI
hash_sha1,24E0CC244EF06510D9E54291F7B20472E21A7E2A,4/22/2020 12:52,4/22/2020 12:52,Defender TI
hash_sha1,26F6183FC7FA57C614588E0BD1FFC28884259FF9,8/1/2019 21:12,3/28/2023 14:15,Defender TI
hash_sha256,2771A533AEB54C0A2746D5C631B3884313B799EC63A30B52F9DB73C0C74005DA,1/9/2023 15:07,3/28/2023 14:15,Defender TI
hash_sha256,2A5F74E8268AD2D38C18F57A19D723B72B2DADD11B3AB993507DD2863D18008D,11/22/2022 15:41,3/28/2023 14:16,Defender TI
hash_sha256,2C8D18F03B6624FA38CAE0141B91932BA9DC1221EC5CF7F841A2F7E31685E6A1,10/6/2017 7:12,3/28/2023 14:15,Defender TI
hash_sha256,3098DD53DA40947A82E59265A47059E69B2925BC49C679E6555D102D1C6CBBC8,1/18/2022 18:22,3/28/2023 14:17,Defender TI
hash_sha256,331B513CF17568329C7D5F1BAC1D14F38C77F8D4ADBA40C48DAB6BAF98854F92,10/24/2022 19:10,3/28/2023 14:19,Defender TI
hash_sha1,35058982F15C6DECC374F7C0D99DCCD5940C0976,10/30/2019 20:33,3/28/2023 14:16,Defender TI
hash_sha256,367021BEEDB3AD415C69C9A0E657DC3ED82B1B24A41A71537D889F5E2B7CA433,10/6/2017 7:12,3/28/2023 14:14,Defender TI
hash_sha1,37DF30C904EE7A761120E202C6EA12C9DA13F007,5/12/2019 9:06,3/28/2023 14:16,Defender TI
hash_md5,3F3D68BB8411BC6ACE1FDC41A5814A3C,2/24/2020 13:11,2/24/2020 13:11,Defender TI
hash_sha256,42CA7D3FCD6D220CD380F34F9AA728B3BB68908B49F04D04F685631EE1F78986,1/18/2022 18:22,3/28/2023 14:18,Defender TI
hash_sha256,433B47F40F47BEA0889423AB96DEB1776F47E9FAA946E7C5089494ED00C6CC29,10/31/2022 15:19,3/28/2023 14:16,Defender TI
ip,45.86.230.20,2/10/2023 17:57,5/2/2023 8:51,Defender TI
hash_sha256,4550B4FA89FF70D8EA59D350AD8FC537CEAAD13779877F2761D91D69A2C445B2,10/12/2022 16:06,3/28/2023 14:19,Defender TI
ip,46.249.35.243,2/14/2023 14:10,5/2/2023 9:09,Defender TI
hash_sha256,4B2862A1665A62706F88304406B071A5C9A6B3093DAADC073E174AC6D493F26C,11/4/2021 10:04,3/28/2023 14:15,Defender TI
hash_sha256,4D24B326D0335E122C7F6ADAA22E8237895BDF4C6D85863CF8E84CFCC0503E69,11/18/2022 16:13,3/28/2023 14:19,Defender TI
hash_sha256,4E80BD62D02F312B06A0C96E1B5D1C6FD5A8AF4E051F3F7F90E2976580842515,11/8/2022 16:29,3/28/2023 14:19,Defender TI
hash_sha1,4E8C6CBC7617ACAEFBD7D29EF67C2CBC4E75D1A6,2/10/2020 14:55,3/28/2023 14:14,Defender TI
hash_sha256,51121DD5FBDFE8DB7D3A5311E3E9C904D644FF7221B60284C03347938577EECF,11/14/2019 15:09,3/28/2023 14:17,Defender TI
hash_sha256,5578B7D126EBAE78635613685D0CD07F4FB86F2E5B08E799BDC67D6D6053EDE2,11/18/2022 16:13,3/28/2023 14:19,Defender TI
hash_sha256,58282917A024AC252966650361AC4CBBBED48A0DF7CAB7B9A6329D4A04551C0D,10/6/2017 7:12,3/28/2023 14:14,Defender TI
hash_sha256,58898648A68F0639C06BEDC8242CA48BC6EC56F11ED40D00AA5FDDA4E5553482,10/6/2017 7:12,3/28/2023 14:15,Defender TI
hash_sha256,588CD0FE3AE6FBD2FA4CF8DE8DB8AE2069EA62C9EAA6854CAEDF45045780661F,10/6/2017 7:12,3/28/2023 14:19,Defender TI
hash_sha256,5BCDD422089ED96D6711FA251544E2E863B113973DB328590CFE0457BFEB564F,1/18/2022 18:22,3/28/2023 14:18,Defender TI
hash_sha256,5D049BD7F478EA5D978B3C78F7F0AFDF294A94F526FC20FFD6E33022D40D15AE,10/6/2017 7:12,3/28/2023 14:15,Defender TI
hash_sha1,6011B09DEF7BCA520ECAD366E3E19D39E80461A4,10/30/2019 20:30,3/28/2023 14:16,Defender TI
hash_sha256,605FEFC7829CFA41710E0B844084EAB1F180FE513ADC1D8F0F82501A154DB0F4,10/6/2017 7:12,3/28/2023 14:15,Defender TI
hash_sha1,60D44D7A9A7FFD2B409D2D61C3FEE15941E28A6D,4/22/2020 12:52,4/22/2020 12:52,Defender TI
hash_sha256,61072AE06A5E25194E7BF6297026B54AE52FCFC14787EAD8866866D8098A1FA3,8/13/2020 23:24,3/28/2023 14:16,Defender TI
hash_sha256,61DCF1EEB616104742DD892B89365751DF9BB8C5B6A2B4080AC7CF34294D7675,11/18/2022 16:13,3/28/2023 14:15,Defender TI
hash_md5,62C31B0E86A847E2657A58F2BBB3B2CE,4/22/2020 12:52,4/22/2020 12:52,Defender TI
hash_sha256,6485A68BA1D335D16A1D158976E0CBFAD7AB15B51DE00C381D240E8B0C479F77,11/14/2022 17:53,5/2/2023 9:26,Defender TI
hash_sha256,653046FA62D3C9325DBFF5CB7961965A8BF5F96FA4E815B494C8D3E165B9C94A,10/12/2022 15:05,3/28/2023 14:15,Defender TI
hash_sha256,68EA389BFB844AB6E8C0649C43215F916295DFDC952B867541A702F3C88D6497,12/8/2022 20:29,3/28/2023 14:19,Defender TI
hash_sha1,6DB26CE598B86E96CA2BA132D2D847BECA8521EE,5/12/2019 9:50,3/28/2023 14:14,Defender TI
hash_sha256,76EB64994F9DB257C4F7DBF406B542E3C9A7362F905B5CE4828AEB3DB4743AFA,10/6/2017 7:12,4/13/2022 7:01,Defender TI
hash_sha256,784F0D77EF4EA66A6C73A3A4F06BAB777DD26687AA3DABB695F46C5DFE31ADCA,4/16/2020 14:16,4/13/2022 6:46,Defender TI
hash_sha256,79AA667ABE584E043D1C88E1683145D2CAE3C7D69E7D644C7D3794AC0350D0BF,10/3/2022 16:04,3/28/2023 14:18,Defender TI
hash_sha256,7BD0D3BB8919A46C660DC6CB2DDB810FC6DDCBAF1D0BC5CC1328E063C1A0176A,4/16/2020 14:17,4/16/2020 14:17,Defender TI
hash_sha256,7E7292B5029882602FE31F15E25B5C59E01277ABAAB86B29843DED4AA0DCBDD1,11/14/2022 16:33,3/28/2023 14:17,Defender TI
hash_sha256,7E7545D14DF7B618B3B1BC24321780C164A0A14D3600DBAC0F91AFBCE1A2F9F4,1/18/2022 18:22,3/28/2023 14:15,Defender TI
hash_sha256,81523E0199AE1DC9E87D2B952642785BFBDA6326F22E4C0794A19AFDF001A9A3,10/6/2017 7:12,3/28/2023 14:14,Defender TI
hash_sha1,82306E7B75120F97F9A0BA70D334470DA79D0C5D,10/30/2019 20:30,3/28/2023 14:15,Defender TI
hash_sha1,849667D50CCE2DE030DD9D055092DB8B294918E5,10/30/2019 20:33,3/28/2023 14:16,Defender TI
hash_sha256,875696CC7EB82850453EFB4695AB8CB4B9CD9A2E8860912CA697068C292FF5E3,2/14/2020 1:06,4/13/2022 6:57,Defender TI
hash_sha256,884E991D2066163E02472EA82D89B64E252537B28C58AD57D9D648B969DE6A63,11/14/2019 15:09,3/28/2023 14:18,Defender TI
hash_sha256,887C09E24923258E2E2C28F369FBA3E44E52CE8A603FA3AEE8C3FB0F1CA660E1,11/10/2022 17:23,3/28/2023 14:15,Defender TI
hash_sha1,8E05A8A34855B4BAC56CFE223E70479235720C99,5/12/2019 9:51,3/28/2023 14:16,Defender TI
hash_sha256,90B66B3FEF77962FBFDA364A4F8799BFCC9AB73772026D7A8922A7CF5556A024,10/6/2017 7:12,3/28/2023 14:19,Defender TI
hash_sha256,917A6C816684F22934E2998F43633179E14DCC2E609C6931DD2FC36098C48028,10/6/2017 7:12,3/28/2023 14:19,Defender TI
hash_sha1,91EAD70B6E7962E73261441BCD4AF6B332D88E9D,10/30/2019 19:06,3/28/2023 14:16,Defender TI
hash_sha256,96101DE2386E35BC5E38D32524A02C6C5CA7CC6624E656A629B2E0F1693A76FD,10/6/2017 7:12,3/28/2023 14:19,Defender TI
hash_sha256,97F9A83BC6BB1B3F5CB7AC9401F95265597BFF796BB4901631D6FA2C79A48BDC,10/6/2017 7:12,3/28/2023 14:19,Defender TI
hash_sha256,993DF699AA167A19F803D721F575D5439240EAAA4CA2DE60FF143168FEFCB65A,4/10/2020 1:15,4/13/2022 7:12,Defender TI
hash_sha256,9CB79736302999A7EC4151A43E93CD51C97EDE879194CECE5E46B4FF471A7AF7,1/18/2022 18:22,3/28/2023 14:15,Defender TI
hash_sha256,9D50FCB2C4DF4C502DB0CAC84BEF96C2A36D33EF98C454165808ECACE4DD2051,1/18/2022 18:22,3/29/2023 14:44,Defender TI
hash_sha256,9D998502C3999C4715C880882EFA409C39DD6F7E4D8725C2763A30FBB55414B7,5/5/2019 0:54,3/28/2023 14:15,Defender TI
hash_sha256,A224CBAAAF43DFEB3C4F467610073711FAED8D324C81C65579F49832EE17BDA8,7/23/2020 12:28,3/28/2023 14:15,Defender TI
hash_sha256,A35A1C92C001B59605EFD318655D912F2BCD4E745DA2B4A1E385D289E12EE905,10/10/2022 15:45,3/28/2023 14:16,Defender TI
hash_sha256,A3C1FD46177A078C4B95C744A24103DF7D0A58CEE1A3BE92BC4CDD7DEC1B1AA5,10/6/2017 7:12,3/28/2023 14:19,Defender TI
hash_sha256,A69FEE382CF86F9E457E0688932CBD00671D0D5218F8043F1EE385278EE19C8C,2/13/2020 20:29,4/21/2023 11:10,Defender TI
hash_sha1,A7B57D47C1B80C61C61C1BCF9089EED6FDAAC756,2/24/2020 13:11,3/28/2023 14:17,Defender TI
hash_sha256,AA282DAA9DA3D6FC2DC6D54D453F4C23B746ADA5B295472E7883EE6E6353B671,11/14/2022 16:10,3/28/2023 14:19,Defender TI
domain,al.ps,10/6/2017 7:12,6/16/2021 10:19,Defender TI
hash_sha1,B0AB6CE3D044A1339A705F233E113C44A1BCED10,10/30/2019 20:30,3/28/2023 14:14,Defender TI
hash_sha256,B154D3FD88767776B1E36113C479EF3487CEDA0F6E4FC80CEF85BA539A589555,8/1/2020 16:57,4/21/2023 10:57,Defender TI
hash_sha256,B1E30CCE6DF16D83B82B751EDCA57AA17795D8D0CDD960ECEE7D90832B0EE76C,1/18/2022 18:22,3/28/2023 14:15,Defender TI
hash_sha256,B239B4E1047306A75DE02A53FF5B55F640AFDE70AE9FC400C87D2F5C98C211A8,10/4/2022 16:21,3/28/2023 14:19,Defender TI
hash_sha1,BA8B86E10F151E51AD3EAF2A39243A5316B7BD23,2/24/2020 13:11,2/24/2020 13:11,Defender TI
hash_sha256,C2BADCDFA9B7ECE00F245990BB85FB6645C05B155B77DEAF2BB7A2A0AACBE49E,1/25/2022 20:25,4/21/2023 11:10,Defender TI
hash_sha1,C4A5E8E871E5AF7A86427B08E383BB2A99FAC932,10/30/2019 20:33,3/28/2023 14:15,Defender TI
hash_sha256,C7A2A9E020B4BCBFA53B37DEA7EBF6943AF203B94C24A35C098B774F79D532AC,11/14/2022 16:10,3/28/2023 14:15,Defender TI
hash_sha256,C8B00765834342D3A9EF510F4B5BCE91B7625DE477B492F23C142D49F2F3BD50,10/6/2017 7:12,4/13/2022 6:48,Defender TI
hash_sha256,C92E70515D594C582E4433F2ACA6C8F2AA60F1AF0AA21A08173FF2FEB7D34359,11/14/2019 15:09,3/28/2023 14:16,Defender TI
hash_sha256,CB4F849DEC1F029EBFAD5438F3DE2976BDB6CD6FA103092881F8276209C334AB,1/23/2023 18:07,3/28/2023 14:15,Defender TI
hash_sha1,CC079F07E83C3A454534E7D4C8DE2B532905FC55,10/30/2019 19:06,3/28/2023 14:16,Defender TI
hash_sha256,CCDDDD1EBF3C5DE2E68B4DCB8FBC7D4ED32E8F39F6FDF71AC022A7B4D0AA4131,6/11/2020 3:03,3/28/2023 14:15,Defender TI
hash_sha256,D550F0F9C4554E63B6E6D0A95A20A16ABE44FA6F0DE62B6615B5FDCDB82FE8E1,11/8/2022 15:13,3/28/2023 14:15,Defender TI
hash_sha256,DAB77AEA8BF4F78628DCF45BE6E2E79440C38A86E830846EC2BDDC74FF0A36E4,10/12/2022 16:06,3/28/2023 14:17,Defender TI
hash_sha256,DC7E102A2C68F7E3E15908EB6174548CE3D13A94CAADF76E1A4EE834DC17A271,11/8/2022 15:33,3/28/2023 14:16,Defender TI
hash_sha256,DD7EE54B12A55BCC67DA4CEAED6E636B7BD30D4DB6F6C594E9510E1E605ADE92,2/25/2021 13:37,4/21/2023 10:39,Defender TI
hash_sha256,DDAE32A6234A58EB80837DCDEA318CC6C16A3B067F74E305C0C647190B90BE10,10/6/2017 7:12,4/13/2022 6:49,Defender TI
hash_sha1,DF9195610909E9CCACDF4C3048272A31A090FFEF,10/30/2019 20:30,3/28/2023 14:18,Defender TI
hash_sha256,DFF7494F6958F130225B4A163A1081FC79CE761CDABFECF3C2EB72FD4AF4041B,1/28/2021 16:05,3/28/2023 14:16,Defender TI
hash_sha256,E4CA146095414DBE44D9BA2D702FD30D27214AF5A0378351109D5F91BB69CDB6,8/18/2022 13:43,5/2/2023 9:26,Defender TI
hash_sha256,E7C1E310868ABBAB4A141E1E40B19D641ADEB68DDA2F71A1BD55DABD77667BDA,10/6/2017 7:12,4/13/2022 6:48,Defender TI
hash_sha256,E87FE81352EBDA0CFC0AE785EBFC51A8965917235EE5D6DC6CA6B730EDA494CF,11/14/2022 16:33,3/28/2023 14:15,Defender TI
hash_sha256,EAE0ACBA9C9E6A93CE2D5B30A5F21515E8CCCA0975FBD0E7D8862964FDFA1468,11/22/2022 15:41,3/28/2023 14:17,Defender TI
hash_sha256,F26073E433EFDBD3AEADB96B3807C207BD136BE0B45A2B954ABD8597C6560B9C,10/12/2022 14:44,3/28/2023 14:14,Defender TI
hash_sha256,FFBE7DF94929B03408791EB321A845FFF9289C7BE950AAEC96267C79D5D26C5F,10/6/2017 7:12,4/13/2022 7:04,Defender TI
url,http://144.76.109.88/al/ag.txt,10/6/2017 7:12,6/16/2021 10:19,Defender TI
domain,ntstats.ps,10/6/2017 7:12,6/16/2021 10:19,Defender TI
domain,sygateway.com,7/26/2022 15:22,5/2/2023 8:51,Defender TI
domain,system.ps,10/6/2017 7:12,6/16/2021 10:19,Defender TI
domain,updater.ps,10/6/2017 7:12,6/16/2021 10:19,Defender TI
domain,vatacloud.com,2/3/2023 15:12,5/2/2023 9:04,Defender TI
