Type,Value
DOMAIN,32sssaawervvvv.biz
DOMAIN,adminmmi.biz
DOMAIN,auth2022.live
DOMAIN,cleanifl.com
DOMAIN,docpmsi.us
DOMAIN,vrtlsrvmapp.biz
DOMAIN,vrtofcvm.live
DOMAIN,login.actionspsort.cam
DOMAIN,login.akasmisoft.xyz
DOMAIN,login.aueuth11.live
DOMAIN,login.auth009.xyz
DOMAIN,login.auth2022.live
DOMAIN,login.auth83kl.live
DOMAIN,login.bittermann-hh.co
DOMAIN,login.cbhbanlc.com
DOMAIN,login.cleanifl.com
DOMAIN,login.clfonl365.xyz
DOMAIN,login.gddss36.live
DOMAIN,login.grodno-pl.com
DOMAIN,login.hfs923.shop
DOMAIN,login.karlandpearson.com
DOMAIN,login.klm2136.click
DOMAIN,login.login-micro.mcrsfts-passwdupdate.com
DOMAIN,login.mcrosfts-updata.live
DOMAIN,login.mcrosfts-update.cloud
DOMAIN,login.mcrosfts-update.digital
DOMAIN,login.mcrosftts-update.cloud
DOMAIN,login.mcrsft-audio.xyz
DOMAIN,login.mcrsfts-cloud.live
DOMAIN,login.mcrsfts-passwd.cloud
DOMAIN,login.mcrsfts-passwd.digital
DOMAIN,login.mcrsfts-passwdupdate.com
DOMAIN,login.mcrsfts-update.cloud
DOMAIN,login.mcrsfts-update.digital
DOMAIN,login.mcrsfts-virtualofficevm.com
DOMAIN,login.mcrsftsvm-app.digital
DOMAIN,login.mcrsftsvm-app.live
DOMAIN,login.mcrsfts-voiceapp.digital
DOMAIN,login.mcrsftsvoice-mail.cloud
DOMAIN,login.microsecurity.us
DOMAIN,login.microstoff.xyz
DOMAIN,login.mljs365.xyz
DOMAIN,login.mwhhncndn.xyz
DOMAIN,login.mycrsfts-passwd.live
DOMAIN,login.qwwxthn.xyz
DOMAIN,login.seafoodsconnection.com
DOMAIN,login.sunmarks.co.uk
DOMAIN,login.tfosorcimonline.xyz
DOMAIN,login.whitmanlab.uk
DOMAIN,login.yi087011.xyz
