Type,Value
Phishing domains,angalosos.xyz
Phishing domains,mdks.xyz
Phishing domains,7brits.xyz
Phishing domains,fekir5.xyz
Phishing domains,bantersplid.xyz
Phishing domains,absmg.xyz
Phishing domains,wultimacho.xyz
Phishing domains,gsuiteworkstation.com
Phishing domains,thyxyzjgdrwafzy.xyz
Phishing domains,7dmjmg20p8.xyz
Phishing domains,appfolders.xyz
Phishing domains,4765445b-32c6-4-83e6-1d93765276.co
Phishing domains,aucapitalsci.com
Phishing domains,eaganins.click
Phishing domains,disturbedmidiagroup.click
Phishing domains,crossvalleyfcv.org
Phishing domains,triboro-fcv.org
Phishing domains,cityfederalcv.com
Phishing domains,portconnfcuu.com
Phishing domains,oufcv.com
Compromised websites,southernlivingsavannah.com
Compromised websites,sunnyislesdental.com
Compromised websites,horticulturatanaka.com.br
Compromised websites,ripple-hirodai.com
Compromised websites,pathopowerreport.de
Compromised websites,pagliaispizzakv.com
Compromised websites,loftds.com
Compromised websites,sabtsaeen.ir
Compromised websites,jarrydrenton.com
Compromised websites,alphamediaam.ir
Compromised websites,hcapinfo.com
Compromised websites,gamea.ir
