Indicator,Type,Description
Soldier.exe,File name,Soldier backdoor
ad55b4a40f9e52682d9d4f069914e09c941e8b77ca7b615e9deffccdfbc54145,SHA-256,Soldier backdoor hash
Drokbk.exe,File name,Drokbk backdoor
64f39b858c1d784df1ca8eb895ac7eaf47bf39acf008ed4ae27a796ac90f841b,SHA-256,Drokbk backdoor hash
sync-system-time.cf,Domain,Drokbk C2 infrastructure
update-windows-security.tk,Domain,Drokbk C2 infrastructure
dns-iprecords.tk,Domain,Drokbk C2 infrastructure
universityofmhealth.biz,Domain,Drokbk C2 infrastructure
oracle-java.cf,Domain,Drokbk C2 infrastructure
54.39.202.0,IP address,Drokbk C2 infrastructure
51.89.135.15,IP address,Drokbk C2 infrastructure
51.89.169.201,IP address,Drokbk C2 infrastructure
51.89.187.222,IP address,Drokbk C2 infrastructure
NY.docx.docx,File name,CharmPower lure document used for template injection
57cc5e44fd84d98942c45799f367db78adc36a5424b7f8d9319346f945f64a72,SHA-256,NY.docx.docx hash
Abraham%20Accords%20Du..docx,File name,CharmPower lure document used for template injection
3dcdb0ffebc5ce6691da3d0159b5e811c7aa91f6d8fc204963d2944225b0119d,SHA-256,Abraham%20Accords%20Du.[.]docx hash
DocTemplate.dotm,File name,Malicious remote template document used in intrusions involving CharmPower
65e48f63f455c94d3bf681acaf115caa6e1e60499362add49ca614458bbc4f85,SHA-256,DocTemplate.dotm
DntDocTemp.dotm,File name,Malicious remote template document used in intrusions involving CharmPower
444075183ff6cae52ab5b93299eb9841dcd8b0321e3a90fb29260dc12133b6a2,SHA-256,DntDocTemp.dotm hash
0onlyastep0.xyz,Domain,CharmPower C2 infrastructure
0readerazone0.xyz,Domain,CharmPower C2 infrastructure
0tryamore0.xyz,Domain,CharmPower C2 infrastructure
